Page Name,Post Created,Shares,Message,URL
Palestine International Broadcast,2024-05-01 03:46:02 EDT,658,🎥Suffocation cases among students at the University of Texas Austin as police assault them with stun grenades and pepper spray for peacefully protesting against the Israeli genocide in Gaza.,https://www.facebook.com/100069351265250/posts/759089633079405
Palestine International Broadcast,2023-10-21 03:41:08 EDT,521,All of Jordan in one voice for Gaza. #GazaGenocide #SupportPalestine,https://www.facebook.com/100069351265250/posts/647950847526618
Palestine International Broadcast,2023-10-28 17:03:50 EDT,1062,Gaza is in need of every voice against Israeli genocide campaign,https://www.facebook.com/100069351265250/posts/652593370395699
Palestine International Broadcast,2024-05-30 18:15:02 EDT,360,France people reject the Israeli genocide in Gaza,https://www.facebook.com/100069351265250/posts/777479814573720
Palestine International Broadcast,2023-10-17 07:46:40 EDT,697,"Israeli Genocide against Gaza! Thier Mom and Dad were Killed, nothing is left for them. #Gaza_Under_Attack #SupportPalestine",https://www.facebook.com/100069351265250/posts/645629687758734
Palestine International Broadcast,2024-04-25 16:16:40 EDT,554,It is real Intifada in the American Universities against the Zionist genocide in Gaza.,https://www.facebook.com/100069351265250/posts/755681323420236
Palestine International Broadcast,2023-10-25 14:00:04 EDT,895,Starvation is a war crime! This long line of Palestinian civilians in the Gaza Strip wait at least 12 hours to get bread and many times they return home with nothing. #trendingreels #trendingreelsvideo #kids #arab #SharePost #trendingmovie #Palestinians #Palestine #Palestina #gaza #GazaGenocide #gazaunderattack #Gaza_is_under_bombardment #gazanation #GazaUnderAttack #GazaPalestine #christianity #ChristianLife #GazaNation #palestineforever #kids,https://www.facebook.com/100069351265250/posts/650683497253353
Palestine International Broadcast,2024-05-16 07:00:26 EDT,258,Shall the governments listen to the people and help stop Israel's genocide in Gaza?,https://www.facebook.com/100069351265250/posts/768482775473424
Palestine International Broadcast,2024-04-27 13:15:05 EDT,406,Her only crime is rejecting Israeli genocide in Gaza.,https://www.facebook.com/100069351265250/posts/756824663305902
Palestine International Broadcast,2023-12-17 20:00:48 EST,322,Demonstrations around the world calling for stopping Israeli genocide against Gaza Happening in Spain,https://www.facebook.com/100069351265250/posts/680278644293838
Palestine International Broadcast,2023-11-13 22:30:02 EST,390,"Thousands of people take to streets in Spain protesting Israeli genocide against Gaza, calling on the EU to act seriously to stop the massacre of the century",https://www.facebook.com/100069351265250/posts/661512372837132
Palestine International Broadcast,2023-11-14 05:00:35 EST,1241,Today is the 38 of Israeli genocide in Gaza Strip.,https://www.facebook.com/100069351265250/posts/661519516169751
Palestine International Broadcast,2024-05-13 22:22:38 EDT,443,"Dutch police attack university students, protesting against the Israeli genocide in Gaza in the Netherlands.",https://www.facebook.com/100069351265250/posts/767016108953424
Palestine International Broadcast,2024-04-30 10:40:23 EDT,358,No State should be complicit in Israel's genocide in Gaza.,https://www.facebook.com/100069351265250/posts/758620476459654
Palestine International Broadcast,2024-05-02 04:31:58 EDT,364,Thousands and thousadns more of peace-loving people protest Israeli occupation genocide against Gaza.,https://www.facebook.com/100069351265250/posts/759764509678584
Palestine International Broadcast,2023-10-19 05:40:59 EDT,438,A Palestinian Journalist Story from Gaza. #GazaGenocide #GazaUnderAttack #SupportPalestine,https://www.facebook.com/100069351265250/posts/646790830975953
Palestine International Broadcast,2023-10-26 06:30:01 EDT,669,"""I wish it was a dream,"" says this Palestinian boy as he inspects the debris of his family home, levelled to the ground this morning by Israeli airstrikes in Gaza. #GazaGenocide #Gaza_is_under_bombardment #GazaPalestine #Palestina #SharePost #gazanation #Palestinians #GazaNation #gazaunderattack #journalism #AlJazira",https://www.facebook.com/100069351265250/posts/651140933874276
Palestine International Broadcast,2023-10-27 15:45:01 EDT,391,"The Brazilian President on the war in Gaza: ""It's not a war, it's a genocide.""",https://www.facebook.com/100069351265250/posts/651797377141965
Palestine International Broadcast,2023-10-27 18:45:51 EDT,666,A night of bloodshed is being experienced by the children of Gaza at this moment. #children #SaveTheChildren #GazaCity #babies #genocide #EthnicCleansing #palestinelivesmatter,https://www.facebook.com/100069351265250/posts/652070623781307
Palestine International Broadcast,2024-06-07 09:27:40 EDT,285,It not a war. It is Israel’s genocide and more against Gaza,https://www.facebook.com/100069351265250/posts/782036897451345
Palestine International Broadcast,2023-11-13 04:00:23 EST,230,This is how the day starts in #Gaza under Israel's indiscriminate genocide campaign.,https://www.facebook.com/100069351265250/posts/660861966235506
Palestine International Broadcast,2024-04-03 11:08:42 EDT,313,The Israeli genocide in Gaza is going on in full swing.,https://www.facebook.com/100069351265250/posts/742293534759015
Palestine International Broadcast,2023-10-17 03:18:05 EDT,626,A speech exposing the hypocrites of the international community and its complicity in Gaza genocide #Gaza #gaza_under_attack_now #GazaUnderAttack #gaza,https://www.facebook.com/100069351265250/posts/645526604435709
Palestine International Broadcast,2024-03-04 09:45:27 EST,304,How the Day of Palestine is Celebrated in the United States. It is obvious that the American Administration support for Israeli genocide in Gaza is fully rejected.,https://www.facebook.com/100069351265250/posts/725490119772690
Palestine International Broadcast,2024-05-20 07:39:12 EDT,328,The International Criminal Court (ICC) is seeking arrest warrants for Israeli Prime Minister Benjamin Netanyahu on charges of war crimes and crimes against humanity related to the genocide in Gaza.,https://www.facebook.com/100069351265250/posts/771186368536398
Palestine International Broadcast,2023-10-21 11:32:28 EDT,319,All of London Taking to Streets to Press Israel to End Genocide Against Gaza #freepalestine #GazaUnderAttack #gaza_under_attack_now #Gaza #gaza,https://www.facebook.com/100069351265250/posts/648144697507233
Palestine International Broadcast,2023-11-12 12:00:18 EST,274,"Horse- and donkey-dragged carts are the main means of transport these days in Gaza, even when a murdered civilian is laid down to rest. #GazaGenocide",https://www.facebook.com/100069351265250/posts/660734162914953
Palestine International Broadcast,2024-05-03 11:00:22 EDT,146,British University students join Columbia students in the protest against the Israeli genocide in Gaza,https://www.facebook.com/100069351265250/posts/760148016306900
Palestine International Broadcast,2024-06-13 04:00:37 EDT,149,More protests in the UK against Israeli genocide against Gaza,https://www.facebook.com/100069351265250/posts/785324767122558
Palestine International Broadcast,2024-07-06 15:09:00 EDT,134,London protest against Israeli genocide in Gaza,https://www.facebook.com/100069351265250/posts/800101742311527
Palestine International Broadcast,2023-10-19 06:40:15 EDT,386,Rescuing Children from under the rubble in Gaza. #GazaGenocide #GazaUnderAttack #savethechildren,https://www.facebook.com/100069351265250/posts/646815430973493
Palestine International Broadcast,2024-02-17 12:48:27 EST,434,Israeli genocide left nothing in Gaza intact,https://www.facebook.com/100069351265250/posts/716854480636254
Palestine International Broadcast,2024-03-14 11:05:10 EDT,272,The only survivor of her her family shall tell her story of the Israeli genocide in Gaza,https://www.facebook.com/100069351265250/posts/730624535925915
Palestine International Broadcast,2024-04-23 15:30:30 EDT,621,Israeli torture of Palestinian prisoners is beyond human imagination #Palestine #Gaza #CeaseFireNow #Gaza_Genocide #GazaBombing #War #Genocide,https://www.facebook.com/100069351265250/posts/754432283545140
Palestine International Broadcast,2024-06-23 12:05:36 EDT,240,"A young Palestinian girl orphaned by an Israeli occupation bombing that destroyed her family's home, killing both her parents and siblings, appeals to the world to end Israel's genocide in Gaza.",https://www.facebook.com/100069351265250/posts/791923373129364
Palestine International Broadcast,2024-02-17 04:08:20 EST,273,Gaza is unending story of sadness Israel continues genocide against the defenseless people of Gaza,https://www.facebook.com/100069351265250/posts/716618930659809
Palestine International Broadcast,2024-02-22 02:00:26 EST,122,The empathy and precious and sincere solidarity of the Irish people with the Palestinian people Stop the genocide in Gaza,https://www.facebook.com/100069351265250/posts/719324147055954
Palestine International Broadcast,2023-10-18 18:30:17 EDT,272,"They Kill the Babies, They Kill the Babies. Unimaginable..Unimaginable. This what a Palesinian woman of Gaza says in light of the Israeli genocide #freepalestine #GazaUnderAttack #gaza_under_attack_now #Gaza #gaza #BoycottIsrael",https://www.facebook.com/100069351265250/posts/646463217675381
Palestine International Broadcast,2024-01-15 05:00:58 EST,198,Stop genocide in Gaza,https://www.facebook.com/100069351265250/posts/696626319325737
Palestine International Broadcast,2023-10-23 06:00:04 EDT,495,Genocidal war..⛔️ This is how people die in Gaza..!! #trendingreels #trendingreelsvideo #JeninUnderAttack #trendingaudio #SharePost #trendingmovie #Palestinians #Palestine #Palestina #gaza #GazaGenocide #gazaunderattack #Gaza_is_under_bombardment #gazanation #GazaUnderAttack #GazaPalestine #Russian,https://www.facebook.com/100069351265250/posts/649150707406632
Palestine International Broadcast,2023-11-11 08:45:05 EST,378,"Two photos of the same girl and the only difference between them is an Israeli missile The Palestinian child, Julia, who is 3 years old, is the only survivor of an Israeli airstrike that hit her house in Gaza. Her parents both died. She is still alive, wounded and heart broken! #ChildrenLivesMatter #SaveTheChildren #GazaGenocide #ceasefire #Gazabombing #palestinelivesmatter #gaza",https://www.facebook.com/100069351265250/posts/660151176306585
Palestine International Broadcast,2024-06-11 07:00:15 EDT,165,More protests against the Israeli genocide against Gaza,https://www.facebook.com/100069351265250/posts/784149290573439
Palestine International Broadcast,2023-12-08 11:00:36 EST,105,"Massive crowds take over the streets in central Amman, Jordan, in a show of support for the Palestinian resistance and in protest of the Israeli genocide in Gaza.",https://www.facebook.com/100069351265250/posts/674932948161741
Palestine International Broadcast,2024-02-24 06:30:05 EST,185,A million-man march was organized in Yemen today supporting the resistance and rejecting the Israeli genocide in Gaza.,https://www.facebook.com/100069351265250/posts/720489580272744
Palestine International Broadcast,2023-11-13 07:00:45 EST,89,"Sarajevo for Palestine The people of Sarajevo confirm their support for the Palestinian people, calling for stopping the Israeli genocide against Gaza",https://www.facebook.com/100069351265250/posts/660865719568464
Palestine International Broadcast,2024-04-06 07:15:06 EDT,139,"Israel is Isolated for its Genocide against Gaza Israel has never been more isolated. The president of the United States, which for decades has been Israel’s genuinely indispensable ally, is so “outraged” – his word – at Israel’s killing of those aid workers that on Thursday night he issued a barely veiled ultimatum to the country’s prime minister: do as I say or there will be no more arms. The threat is hardly empty: other western allies have already cut off weapons supplies or are considering it.",https://www.facebook.com/100069351265250/posts/744302537891448
Palestine International Broadcast,2023-11-12 04:00:44 EST,106,"Munich today, demonstrators unite to demand an end to the genocide in #Gaza, condemn #Israel's apartheid, and advocate for freedom for #Palestine.",https://www.facebook.com/100069351265250/posts/660400236281679
WAFA News Agency - English,2023-11-10 06:46:04 EST,627,Israeli occupation forces open gunfire on civilians trying to evacuate the Al Nasr Hospital in #Gaza which has been under a tight Israeli military siege from all directions since last night. #GazaGenocide #CeasefireInGazaNOW,https://www.facebook.com/100063135914502/posts/663527212428470
Palestine International Broadcast,2023-10-25 08:01:11 EDT,464,Who bombarded al Ahli Hospital in Gaza?? #GazaNation #GazaGenocide #palestinelivesmatter,https://www.facebook.com/100069351265250/posts/650600797261623
Palestine International Broadcast,2024-04-21 14:30:38 EDT,70,"The ‘strongest response to Israel and the path to victory lie in unity and integrity’, Turkish president says. Ankara has repeatedly slammed Israel’s incursion into Gaza amid its failed attempts to stop the Israeli genocide, which has roiled the Middle East “Even if only I, Tayyip Erdogan, remain, I will continue as long as God gives me my life, to defend the Palestinian struggle and to be the voice of the oppressed Palestinian people,” the president had said on Wednesday.",https://www.facebook.com/100069351265250/posts/753225196999182
Palestine International Broadcast,2023-10-27 17:01:06 EDT,330,Widespread destruction as a result of intense Israeli airstrikes targeting the northern Gaza Strip has led to the killing of at least 30 martyrs. #SharePost #ShareThisPost #ShareThis #shares #shareforshare #family #likeforlikes #likesforlike #LikeFollowShare #like #liketime #likers #reels #reelsviralシ #reel #gaza #GazaGenocide #gazaunderattack #GazaUnderAttack #gazanation #Gaza_is_under_bombardment #GazaWar,https://www.facebook.com/100069351265250/posts/651855350469501
Palestine International Broadcast,2024-02-22 05:30:06 EST,235,"| Rugs, cosmetics, motorbikes: Israeli soldiers are looting Gaza homes en masse Israeli soldiers fighting in Gaza have not been shy about posting videos on social media gleefully documenting their wanton destruction of buildings and humiliation of Palestinian detainees. Some of these clips were even exhibited in South Africa’s presentation at the International Court of Justice last month as evidence of genocide. But there is another war crime being readily documented by Israeli soldiers that has garnered less attention and condemnation despite its prevalence: looting. In November, Palestinian singer Hamada Nasrallah was shocked to discover a TikTok of a soldier playing the guitar that his father had bought him 15 years earlier. Other videos uploaded to social media in recent months show Israeli soldiers boasting about finding wristwatches; unboxing someone’s collection of soccer shirts; and stealing rugs, groceries, and jewelry.",https://www.facebook.com/100069351265250/posts/719397267048642
Palestine International Broadcast,2024-01-11 05:58:00 EST,132,ICJ Session of hearing SA application against Israeli genocide crime in Gaza,https://www.facebook.com/100069351265250/posts/694498059538563
Palestine International Broadcast,2023-10-28 03:30:49 EDT,179,Yemen protest Israeli genocide in Gaza #GazaUnderAttack #gaza_under_attack_now #Gaza,https://www.facebook.com/100069351265250/posts/652084527113250
Palestine International Broadcast,2023-10-26 13:30:27 EDT,163,Hundreds of students left their classrooms in Montreal/Canada to support Palestine. Calling for the stop of Palestine genocide. #Gaza #GazaGenocide,https://www.facebook.com/100069351265250/posts/651320393856330
Palestine International Broadcast,2024-04-27 03:00:34 EDT,143,Harvard University joins the international students intifada against the Israeli genocide in Gaza,https://www.facebook.com/100069351265250/posts/756264826695219
Palestine International Broadcast,2024-07-05 12:02:25 EDT,119,Protests in the USA against Israeli genocide in Gaza,https://www.facebook.com/100069351265250/posts/799420402379661
Palestine International Broadcast,2023-10-28 10:30:02 EDT,455,🆘Tonight in Gaza #SharePost #ShareThisPost #ShareThis #shares #shareforshare #family #likeforlikes #likesforlike #LikeFollowShare #like #liketime #likers #reels #reelsviralシ #reel #gaza #GazaGenocide #gazaunderattack #GazaUnderAttack #gazanation #Gaza_is_under_bombardment #GazaWar #water #mobile #electricity #food,https://www.facebook.com/100069351265250/posts/652385733749796
Palestine International Broadcast,2023-10-25 05:00:02 EDT,229,"Only in Gaza, Children come from under the rubble After Israel bombarded the house of this Palestinian child and made sure he had gone, the rescue team was able to save him. #trendingreels #trendingreelsvideo #GazaGenocide #gazaunderattacks #GazaNation #shareresep #ShareThisPost #arab #reels #reelsfbシ #reelsfbシ #reelsinstagram #reel #explore #explorepage #explorereels #exploremore #exploretheworld #exploreindonesia #exploreeverything #explorecanada #exploretocreate",https://www.facebook.com/100069351265250/posts/650471733941196
Palestine International Broadcast,2024-04-08 00:21:37 EDT,167,Gaza has no one minute of relief or peace as Israel goes ahead with genocide against the Palestinians,https://www.facebook.com/100069351265250/posts/745306054457763
Palestine International Broadcast,2024-05-29 12:05:10 EDT,151,"Brazil recalls ambassador from Israel over Gaza genocide Brazilian President Luiz Inácio Lula da Silva officially announced this Wednesday the departure of Frederico Meyer, the current ambassador to Israel, by nominating him as the country’s representative at the Geneva Disarmament Conference.",https://www.facebook.com/100069351265250/posts/776734367981598
Palestine International Broadcast,2023-10-28 04:45:04 EDT,151,"There are no longer any features of the area, Gaza is being annihilated! #GazaUnderAttack #Gaza_is_under_bombardment #palestinelivesmatter #genocide",https://www.facebook.com/100069351265250/posts/652276550427381
Palestine International Broadcast,2024-05-27 14:25:00 EDT,256,israel steals Palestinian money and land #Palestine #Gaza #CeaseFireNow #Gaza_Genocide #GazaBombing #War #Genocide,https://www.facebook.com/100069351265250/posts/775635638091471
Palestine International Broadcast,2023-10-27 03:00:06 EDT,222,"This child is the real leader of the Palestinian people as he briefs the whole situation in a flew minutes and contacts the message of all the Palestinians to the Israeli enemy and its supporters. This war is hard on Gaza. Crazy war it is. 7 people were killed in this house. Just see the debris. This isn't the lead of life we expect. We like to play and have fun, but our enemy (Israel) knows nothing but killing of all old people and kids. It has one mission - kill-Israel kill many of us, thinking they would uproot us from our land and give up. No, the more they strike us, the stronger, we get. Victory is getting closer now. we will beat them. If they ask when victory comes, tell them it is getting closer to us! #trendingreels #trendingreelsvideo #arab #SharePost #Qatar #Lebanon #Russia #Palestinians #Palestine #Palestina #gaza #GazaGenocide #gazaunderattack #Gaza_is_under_bombardment #gazanation #GazaUnderAttack #GazaPalestine #christianity #ChristianLife #GazaNation #palestineforever #kids",https://www.facebook.com/100069351265250/posts/651624297159273
Palestine International Broadcast,2024-05-11 15:00:26 EDT,125,Sweden demonstrates against Israeli genocide against Gaza,https://www.facebook.com/100069351265250/posts/765002829154752
Palestine International Broadcast,2024-06-28 01:00:35 EDT,123,"Palestine Action scored another victory! 🇵🇸 Actionists broke into Grid Defence Systems, one of the military hardware suppliers for the Israeli occupation, and destroyed military equipment used in the Israeli genocide in Gaza.",https://www.facebook.com/100069351265250/posts/794775072844194
Palestine International Broadcast,2024-05-20 16:02:01 EDT,188,Israel Steals the Palestinian Land and Money #Palestine #Gaza #CeaseFireNow #Gaza_Genocide #GazaBombing #War #Genocide,https://www.facebook.com/100069351265250/posts/771448295176872
Palestine International Broadcast,2024-01-02 15:35:07 EST,300,Israeli Ethnic Cleansing of Gaza is Intentionally Determined #Palestine #Gaza #CeaseFireNow #Gaza_Genocide #GazaBombing #War #Genocide,https://www.facebook.com/100069351265250/posts/689665420021827
WAFA News Agency - English,2023-11-13 08:34:18 EST,605,"In light of the ongoing #Israeli aggression on #Gaza Strip, #hospitals are facing catastrophic conditions due to bombardment, siege, and cutting off #electricity and #medicine. #Gaza_under_attack #CeasefireNow #Palestine #Israeliwarcrimes #GazaGenocide",https://www.facebook.com/100063135914502/posts/665041965610328
Palestine International Broadcast,2023-11-13 14:00:45 EST,110,"""Justin Trudeau you can't hide, We charge you with genocide"" Thousand taking part in a pro-Palestinian rally in downtown #Toronto, calling for a ceasefire in #Gaza.",https://www.facebook.com/100069351265250/posts/661308106190892
Palestine International Broadcast,2023-10-19 15:50:58 EDT,412,Israeli war jets targeted the Greek Orthodox Church in Gaza killing and injuring a number of Palestinian Christians taking refuge in the Church. #christanHospitalinGaza #savethechildren #Gaza_Under_Attack #Usa_Supports_Israel_Crimes #SupportPalestine #Palestine #SaveTheChildren #IsraeliCrimes #Israel #PalestineSeeksAttention #GazaUnderFire #orthodox #Church #GazaGenocide #WestBank #savethechild #Hospitals,https://www.facebook.com/100069351265250/posts/647080917613611
Palestine International Broadcast,2023-10-27 07:30:01 EDT,316,The Israeli occupation warplanes bombed Sheikh Radwan neighborhood in Gaza City with phosphorus bombs. #SharePost #ShareThisPost #ShareThis #shares #shareforshare #family #likeforlikes #likesforlike #LikeFollowShare #like #liketime #likers #reels #reelsviralシ #reel #gaza #GazaGenocide #gazaunderattack #GazaUnderAttack #gazanation #Gaza_is_under_bombardment #GazaWar,https://www.facebook.com/100069351265250/posts/651699173818452
PBI Story,2023-11-11 10:00:02 EST,252,“Let me kiss him” .. A child bids farewell to his father who was killed by Israeli bombardment in Gaza. #BreakingNews #GazaWar #Palestine #ShareThisPost #UnitedNations #share #humanity #Qatar #christianity #GazaCrisis #WHO #france #kids #UNICEF #Gaza #ceasefireInGazaNOW #UNRWA #SaveTheChildren #GazaGenocide,https://www.facebook.com/100075796227281/posts/349069114296293
Palestine International Broadcast,2023-10-28 05:30:01 EDT,137,"Peace be upon you, Firstly , thank you for all the messages of solidarity, communications, questions about us, solidarity with us, and prayers for us This was something important to us certainly، but we saw that it was necessary to return quickly despite everything. Therefore, the neighborhoods and city centers are still under bombing as you can see in the air strikes , artillery shelling, and successive destruction , so I thought you that it is my duty despite the pain and bleeding wound, to return quickly and to meet you through Camera lenses on social media May #God bless you all and I ask you to pray always and forever #SharePost #ShareThisPost #ShareThis #shares #shareforshare #family #likeforlikes #likesforlike #LikeFollowShare #like #liketime #likers #reels #reelsviralシ #reel #gaza #GazaGenocide #gazaunderattack #GazaUnderAttack #gazanation #Gaza_is_under_bombardment #GazaWar",https://www.facebook.com/100069351265250/posts/652275197094183
Palestine International Broadcast,2023-10-24 09:00:01 EDT,246,Not Dooms Day. It is Gaza Everyday under Israeli Bombing #GazaGenocide #trendingreels #trendingreelsvideo #gazaunderattacks #GazaNation #shareresep #ShareThisPost #arab #hospitality #hospital,https://www.facebook.com/100069351265250/posts/649912920663744
Palestine International Broadcast,2023-10-16 11:32:53 EDT,90,Yesterday big rally more than 50 thousand demonstrators in Dallas Texas demanding immediate stop of the genocide against innocent Palestinians in Gaza . #GazaUnderAttack #gaza_under_attack_now #Gaza #gaza #humanity #freedom #BoycottIsrael,https://www.facebook.com/100069351265250/posts/645153397806363
Palestine International Broadcast,2023-10-27 08:30:00 EDT,172,Honesty is the best policy‼️ Gaza is an example of bravery and honesty People doing their best day and night to save innocent lives #SharePost #ShareThisPost #ShareThis #shares #shareforshare #family #likeforlikes #likesforlike #LikeFollowShare #like #liketime #likers #reels #reelsviralシ #reel #gaza #GazaGenocide #gazaunderattack #GazaUnderAttack #gazanation #Gaza_is_under_bombardment #GazaWar,https://www.facebook.com/100069351265250/posts/651708140484222
Palestine International Broadcast,2023-10-19 12:01:32 EDT,60,Sri Lanka didn't forget Palestine. Its people went out to protest against Israeli violations and massacres in Gaza and to support the freedom of Palestine and its right in sovereignty. #GazaGenocide #SupportPalestine #sirilanka,https://www.facebook.com/100069351265250/posts/646966450958391
Palestine International Broadcast,2024-01-18 07:00:16 EST,177,🎥Thousands of Germans took to the streets of the capital Berlin last night to express their anger at their government’s stance on Israel's ongoing genocide of the defenseless Palestinians in the Gaza Strip.,https://www.facebook.com/100069351265250/posts/698288595826176
Palestine International Broadcast,2024-04-07 15:30:08 EDT,119,"Palestine gets the world’s public support Despite all the Palestinians souls lost in this war , but the fact that Palestinians struggle now is considered as a liberation movement like Vietnam, and South Africa in the last decade , by people all over the world is a huge achievement. Isr ael is the loser in this war at the moral and humane level. Israel's monstrous image in the world never recovers in the aftermath of its genocide against children and women in Gaza.",https://www.facebook.com/100069351265250/posts/745111414477227
Palestine International Broadcast,2024-05-21 17:00:09 EDT,159,"A double crime by the German police! Assault on peaceful protesters demanding an end to the genocide in Gaza and violence against women. Fascism in the West has reached an unprecedented level, all for the sake of Israel!",https://www.facebook.com/100069351265250/posts/771488925172809
