Page Name,Post Created,Shares,Message,URL
CNN,2024-03-24 18:01:30 EDT,329,"Rep. Alexandria Ocasio-Cortez defended accusing Israel of genocide against the Palestinian people and advocating for cuts to US military aid until humanitarian relief flows freely in Gaza. Speaking to CNN's Jake Tapper on ""State of the Union,"" the New York Democrat said her decision to use the term genocide, as she did during a floor speech on Friday in the House chamber, was taken with ""extraordinary gravity."" https://cnn.it/43zgGne:=:https://www.cnn.com/2024/03/24/politics/alexandria-ocasio-cortez-aoc-israel-gaza-genocide-cnntv/index.html",https://www.facebook.com/100059479812265/posts/800425475283439
NEWSMAX,2024-04-09 14:00:11 EDT,290,Defense Secretary Lloyd Austin said Tuesday there was no evidence Israel has committed genocide against Palestinians during the Hamas war in Gaza.,https://www.facebook.com/100064878334770/posts/840105624828708
Democracy Now!,2024-04-16 12:04:02 EDT,1023,"Peter Maass reported extensively on the Bosnian genocide in the early 1990s. He says, ""What seems to be unfolding in Gaza is even worse than what I saw in Bosnia.""",https://www.facebook.com/100057759681078/posts/856306879637960
AJ+,2024-02-26 10:38:15 EST,1065,"This U.S. Air Force member set himself on fire outside Israel’s embassy in Washington, D.C., because he did not want to be “complicit in genocide.” Israel’s ongoing attacks on Gaza have killed nearly 30,000 Palestinians.",https://www.facebook.com/100064529598989/posts/792642226230090
Ben Shapiro,2023-10-19 21:06:27 EDT,327,"What we're watching unfold is known as a blood libel as a genocidal Jew-hating terror group laundered a lie about a massacre of innocents at a hospital in Gaza. The term has ancient roots, but one of the earliest records is from 1144. At the time, Christians in England falsely accused Jews of murdering a young boy named William of Norwich and using his blood for religious rituals. Such blood libels claimed that Jews used Christian blood to make Passover matzah. Blood libels have been around for centuries. The Nazis invoked the blood libel during the Holocaust. The term is still used in parts of the Middle East as well. The goal of blood libels is to turn Jews into monsters and thus justify their murder. Historically, blood libels have led to pogroms, expulsions, and genocide. Blood libels almost always ended in the murder of innocent Jews. The same is true right now. Hamas attempted to sell a blood libel in the bombing of a hospital. And the media ran with it.",https://www.facebook.com/100044139414360/posts/1056272402520730
CNN,2023-12-29 18:31:01 EST,204,"South Africa has filed an application at the International Court of Justice to begin proceedings over allegations of genocide against Israel for its war against Hamas in Gaza, the court said",https://www.facebook.com/100059479812265/posts/752721376720516
Ilhan Omar,2024-04-25 16:14:25 EDT,118,"I had the honor of seeing the Columbia University anti-war encampment firsthand. Contrary to right-wing attacks, these students are joyfully protesting for peace and an end to the genocide taking place in Gaza. I’m in awe of their bravery and courage.",https://www.facebook.com/100044379611136/posts/974109697411675
Gentil Gedeon Offial,2023-10-19 07:34:42 EDT,88,ABARABU BASHOBORA GUTERANIRA ISRAEL BAKAYIRASA|BIDEN YAKIRIJWE INKURU MBI|GENOCIDE MURI GAZA? Nimna ukunda ibiganiro vyacu fyonda kuri iyo Link ukore #Follow canke Suivre kuri iyo page nshasha niyo tugiye gukorerako ibiganaro vuba👇👇👇 https://www.facebook.com/profile.php?id=61550210712590&mibextid=ZbWKwL,https://www.facebook.com/100063544375724/posts/1046391833447601
AJ+,2023-11-04 06:02:12 EDT,444,"Brazilian President Luiz Lula Inácio da Silva called out Israel’s bombardment of Gaza, labeling it a “genocide.”",https://www.facebook.com/100064529598989/posts/722711706556476
AJ+,2024-01-26 19:56:20 EST,705,Palestinians testified today in an unprecedented lawsuit they brought against the Biden administration for complicity in Israel’s genocide in Gaza. (with Dena Takruri ),https://www.facebook.com/100064529598989/posts/773507408143572
AJ+,2024-03-19 19:03:47 EDT,326,"Hundreds of protesters in San Sebastian, Spain called for an end to the genocide of Palestinians and an immediate ceasefire.",https://www.facebook.com/100064529598989/posts/805512864943026
Fox News,2024-03-25 02:02:33 EDT,62,"Rep. Alexandria Ocasio-Cortez, D-N.Y., accused Israel of carrying out a ""genocide"" in Gaza against one million ""innocent"" Palestinians amid the Jewish state's war against Hamas.",https://www.facebook.com/100059396147148/posts/804536768202854
The New York Times,2023-12-30 00:40:06 EST,181,"South Africa accused Israel of genocide on Friday in the International Court of Justice and asked the UN court to order a halt to fighting in the embattled Gaza Strip, saying that Israel was trying to “destroy Palestinians in Gaza.”",https://www.facebook.com/100059174186752/posts/754565303192602
The New York Times,2024-03-22 20:40:12 EDT,106,"Representative Alexandria Ocasio-Cortez warned on Friday that Israel’s blockade of Gaza had put the territory on the brink of severe famine, saying publicly for the first time that the nation’s wartime actions amounted to a genocide. “If you want to know what an unfolding genocide looks like, open your eyes,” she said in a speech on the House floor.",https://www.facebook.com/100059174186752/posts/802099211772544
AJ+,2024-05-30 17:19:28 EDT,801,"Hundreds of Palestinian journalists and photographers have risked their lives to document Israel’s ongoing genocide in Gaza. Belal Khaled is one of them. A year ago, he was capturing the joy on children’s faces as they watched the World Cup. From October 2023 to April 2024, Belal photographed children’s pain, starvation and death. Here are some of the many powerful images Belal took while documenting Israel’s ongoing assault on Gaza.",https://www.facebook.com/100064529598989/posts/851647076996271
CNN,2024-01-11 17:00:16 EST,75,"South Africa accused Israel of genocide in an unprecedented case at the UN’s top court, saying the country’s leadership was “intent on destroying the Palestinians in Gaza” and calling for the court to order a halt to Israel’s military campaign in the enclave.",https://www.facebook.com/100059479812265/posts/759890359336951
AJ+,2024-04-24 17:13:40 EDT,561,Nelson Mandela’s grandson talks about his grandfather’s fight for a free South Africa – and why he’s supporting Palestinians facing genocide by Israeli forces. He’s joining the Freedom Flotilla ships as they attempt to break through the Israeli blockade to deliver aid to Gaza.,https://www.facebook.com/100064529598989/posts/828294955998150
AJ+,2024-03-06 14:01:42 EST,607,“I will not be eating blood dates.” Muslim TikTokers are calling for a boycott of Israeli dates during Ramadan amid Israel’s genocide in Gaza.,https://www.facebook.com/100064529598989/posts/797951852365794
Fox News,2024-01-28 15:54:45 EST,44,"Rep. Alexandria Ocasio-Cortez told NBC's Kristen Welker on Sunday that young people were ""appalled"" at the violence going on in Gaza, when asked about ""Genocide Joe"" label.",https://www.facebook.com/100059396147148/posts/771123231544208
AJ+,2024-05-13 17:37:48 EDT,440,"Across social media, people are taking part in a blocking campaign targeting celebrities who have been silent on genocides and global conflicts, such as in Gaza and Sudan. ⁣⁣ ⁣⁣ In the past, activists have called for unfollowing campaigns - but experts say blocking celebrities’ social media accounts may be more effective since it completely cuts off interaction with the account’s content, reducing engagement and ad revenue. ⁣⁣",https://www.facebook.com/100064529598989/posts/840599601434352
AJ+,2024-05-14 19:05:10 EDT,543,"A U.S. Army officer has resigned saying that he felt “incredible shame and guilt” for his complicity in the genocide in Gaza. Major Harrison Mann is the first known member of the Defense Intelligence Agency to resign over the U.S.’ policy of support for Israel. ⁣ ⁣ Mann wrote in his resignation letter that his European Jewish heritage played a part in his decision to resign, believing that he’d failed to uphold the moral principle of “never again.” ⁣ ⁣ “At some point—whatever the justification—you’re either advancing a policy that enables the mass starvation of children, or you’re not.” ⁣",https://www.facebook.com/100064529598989/posts/841269521367360
AJ+,2024-01-11 12:42:17 EST,465,"South Africa has brought a case against Israel to the International Court of Justice, accusing the country of genocide in Gaza. In the first of two days of hearings, South Africa asked the court to order an immediate suspension of Israeli attacks. Both countries are UN Genocide Convention signatories. ⁣ ⁣ The 84-page filing condemns the mass killing of Palestinian civilians and the bodily and mental harm inflicted by Israel, and says the country imposed “conditions of life calculated to bring about [the Palestinians in Gaza’s] physical destruction.”⁣",https://www.facebook.com/100064529598989/posts/763898822437764
Fox News,2024-01-20 08:26:41 EST,66,"More than 65 faculty and staff at Harvard University have formed a pro-Palestinian group accusing Israel of ""genocide"" in Gaza amid accusations of antisemitism at the school.",https://www.facebook.com/100059396147148/posts/765894452067086
AJ+,2023-10-31 05:04:01 EDT,321,"Brazilian President Luiz Lula Inácio da Silva called out Israel’s bombardment of Gaza, labeling it a “genocide.”",https://www.facebook.com/100064529598989/posts/720486153445698
Breitbart,2024-03-24 22:43:04 EDT,41,"AOC said Sunday that Israel had ""crossed the threshold of intent"" and was causing genocide in Gaza.",https://www.facebook.com/100059642974022/posts/821375259860566
CNN,2024-01-12 15:30:06 EST,45,Israel on Friday rejected what it called the “grossly distorted” accusation of genocide leveled against it by South Africa.,https://www.facebook.com/100059479812265/posts/760429419283045
AJ+,2024-05-16 18:46:54 EDT,442,"South Africa appeared at the International Court of Justice for the third time, seeking emergency action against Israel for committing genocide in Gaza.",https://www.facebook.com/100064529598989/posts/842643744563271
CNN,2024-04-09 07:30:04 EDT,57,"Sen. Elizabeth Warren said last week that she believes international courts could interpret Israel’s actions in Gaza as a genocide, according to a video posted by a GBH News reporter, after noting she thinks “what Israel is doing is wrong.”",https://www.facebook.com/100059479812265/posts/809313554394631
Blaze Media,2023-10-18 20:12:39 EDT,352,"When people ask for a two-state solution, they are ignoring DECADES of history. Hamas is NOT interested in a two-state solution. They are interested in the destruction and annihilation of the Jewish people. PERIOD. Have you seen some of the footage from Gaza, of Gaza citizens CHEERING for the deaths of Jews? If you haven’t, you should, despite how grotesque it might be. A ceasefire CANNOT happen, because genocide is on the line. Hamas has been open about their genocidal hopes, but Gaza elected them into power anyway. The United Nations knows what they’re for, but decided to fund Gaza with BILLIONS anyways. Jordan and Egypt don’t want to take Palestinian refugees. I wonder why…because they don’t want possible TERRORISTS living in their country! This is not a humanitarian issue for Hamas, Hezbollah, Iran. This is a HOLY war, and one that they feel they need to kick start.",https://www.facebook.com/100067790780451/posts/652004830402537
AJ+,2024-02-27 14:07:14 EST,310,"This U.S. Air Force member set himself on fire outside Israel’s embassy in Washington, D.C., because he did not want to be “complicit in genocide.” Israel’s ongoing attacks on Gaza have killed nearly 30,000 Palestinians.",https://www.facebook.com/100064529598989/posts/793283586165954
The New York Times,2023-10-31 14:35:04 EDT,244,"The director of the New York office of the UN’s human rights agency has resigned. “We are seeing a genocide unfolding before our eyes, and the Organization that we serve appears powerless to stop it,” he wrote in a letter.",https://www.facebook.com/100059174186752/posts/723018389680627
AJ+,2024-04-07 10:28:33 EDT,649,This is what 6 months of Israeli genocide in Gaza looks like:,https://www.facebook.com/100064529598989/posts/817632823731030
AJ+,2024-03-24 07:32:01 EDT,535,"These videos of possible war crimes in Gaza could amount to evidence of genocide and crimes against humanity, according to an expert in international humanitarian law.",https://www.facebook.com/100064529598989/posts/807309131430066
Democracy Now!,2024-01-26 08:03:52 EST,369,The International Court of Justice has ordered Israel to take all measures within its power to prevent genocide in Gaza. The World Court announced it has jurisdiction over the case brought by South Africa and dismissed Israel's bid to throw it out.,https://www.facebook.com/100057759681078/posts/810057720929543
The New York Times,2023-11-01 04:55:08 EDT,221,"The director of the New York office of the UN’s human rights agency has resigned. “We are seeing a genocide unfolding before our eyes, and the Organization that we serve appears powerless to stop it,” he wrote in a letter.",https://www.facebook.com/100059174186752/posts/723290066320126
AJ+,2024-06-06 15:11:03 EDT,336,"Universities from Ireland to Spain, and Belgium to Norway, are cutting ties with Israel. It's an increasing trend following mass global student protests, including the takeover of university buildings and student encampments on college campuses. ⁣ ⁣ This suspension of ties has come in many forms, like cancelling exchange programs with Israeli universities, pulling out of EU-funded research programs and divestment from Israeli companies involved in violations of international law. These decisions have also followed the International Court of Justice findings that Israel is plausibly committing acts of genocide in Gaza. ⁣",https://www.facebook.com/100064529598989/posts/856003399893972
AJ+,2024-04-11 18:11:14 EDT,233,"“There is no point in recognizing the state of Palestine if we do not stop Netanyahu, if we do not prevent a genocide.” Spanish politician Ione Belarra calls out Spain’s inaction on Gaza.",https://www.facebook.com/100064529598989/posts/820369336790712
CNN,2024-03-27 22:00:06 EDT,79,"There are “reasonable grounds” to believe Israel is “committing the crime of genocide against the Palestinians as a group in Gaza,” the United Nations’ Special Rapporteur on human rights in the Palestinian territories has said.",https://www.facebook.com/100059479812265/posts/802180595107927
AJ+,2024-03-29 14:46:37 EDT,563,"This week, the International Court of Justice (ICJ) issued a second order for Israel to prevent the deaths of vulnerable Palestinians. But intervention from the international community has done little to stop Israel’s killing of thousands more Palestinians trapped in Gaza. ⁣⁣ ⁣⁣ The new ruling comes after the ICJ ordered Israel in January to prevent acts of genocide in Gaza. But in the two months since the ICJ’s initial order, Israeli attacks have killed over 6,500 Palestinians. And even with a UN Security Council ceasefire for Ramadan approved this week, experts fear that thousands more Palestinians could still die due to lack of food and medical aid. ⁣⁣",https://www.facebook.com/100064529598989/posts/811728824321430
Breitbart,2024-03-30 16:57:31 EDT,49,"Joe Rogan is coming under fire for accusing Israel of ""genocide"" in Gaza, and for comparing Israel's war against Hamas to the Holocaust.",https://www.facebook.com/100059642974022/posts/824963776168381
AJ+,2024-02-23 14:34:31 EST,281,"Thousands of protesters marched in New York City to “dump AIPAC,” one of the largest pro-Israel lobbying groups in the U.S., accusing it of “funding genocide” in Gaza.",https://www.facebook.com/100064529598989/posts/791029213058058
AJ+,2024-05-01 11:45:07 EDT,277,"“The goal is just for NYPD to arrest as many pro-Palestinian students as they can.” This Columbia student watched her friend get arrested when armed police stormed Hamilton Hall. Hours earlier, protesters occupied it and renamed it after Hind Rajab, a 6-year-old Palestinian girl killed by Israel in Gaza. Around 300 protesters were arrested at Columbia for protesting genocide in Gaza.",https://www.facebook.com/100064529598989/posts/832697975557848
ABC News,2024-03-29 03:20:13 EDT,37,"Former Presidents Barack Obama and Bill Clinton joined President Joe Biden for a star-studded fundraiser on Thursday in New York City which raked in over $26 million for Biden's re-election, his campaign said, calling it a historic show of unity and enthusiasm. The three presidents' armchair conversation, moderated by comedian Stephen Colbert, also saw at least six interruptions from pro-Palestine protesters, with most urging a cease-fire in Gaza and accusing his administration of aiding genocide, something that's become a regular occurrence at Biden's campaign events.",https://www.facebook.com/100059306690876/posts/814178803902335
Reuters,2024-01-11 07:15:51 EST,172,The International Court of Justice opened hearings in a case in which South Africa accuses Israel of subjecting Palestinians to genocidal acts and demands an emergency suspension of Israel's military campaign in Gaza https://reut.rs/3RQjneZ:=:https://www.reuters.com/world/middle-east/israel-face-gaza-genocide-charges-world-court-2024-01-11/,https://www.facebook.com/100059422245844/posts/871534471503953
AJ+,2024-04-10 12:15:32 EDT,276,"Welcome to “Kibbutz Blinken,” where these anti-genocide activists are camped out 24/7 outside the U.S. Secretary of State’s home to protest his role in Israel’s war on Gaza. (with Dena Takruri )",https://www.facebook.com/100064529598989/posts/819583510202628
AJ+,2024-03-26 11:07:00 EDT,385,"UN human rights expert Francesca Albanese is calling for an arms embargo on Israel. ⁣ ⁣ She says there is evidence to suggest that Israel is carrying out three of the five acts defined as genocide: killing Palestinians, causing serious physical/mental harm and imposing conditions intent to destroy the population ⁣ ⁣ Five countries have already suspended arms sales to Israel, but several Western countries, including the U.S., have continued to supply Israel with weapons that are being used to kill Palestinians in Gaza. ⁣ ⁣ “The overwhelming nature and scale of Israel’s assault on Gaza and the destructive conditions of life it has inflicted reveal an intent to physically destroy Palestinians as a group,” said Albanese, the UN special rapporteur on human rights in the Palestinian territories. ⁣",https://www.facebook.com/100064529598989/posts/809750264519286
AJ+,2024-04-08 17:05:37 EDT,264,Nicaragua says that Germany is “directly profiting” from genocide in Gaza by supplying weapons to Israel.,https://www.facebook.com/100064529598989/posts/818414163652896
AJ+,2024-04-23 13:01:17 EDT,305,"Bisan Owda and AJ+ have been nominated for a Peabody Award for her coverage of Gaza. ""I believe that if we must die, then we need to be heard,"" she said. For over 6 months, Bisan has shown the world how life in Gaza has been through her eyes. She has told the story of Palestinian survival in the face of the Israeli genocide. Before Oct. 7, Bisan was making films about cultural life in her native Gaza for her own YouTube channel. In 2023, AJ+’s Dena Takruri won a Peabody Award for her story “One Day in Hebron,” which gave a firsthand account of the Israeli occupation in Hebron, in the occupied West Bank.",https://www.facebook.com/100064529598989/posts/827557929405186
AJ+,2023-11-11 21:14:45 EST,354,Are there any similarities between the Bosnian genocide and what’s happening in Gaza? This Bosnian journalist says yes.,https://www.facebook.com/100064529598989/posts/726449132849400
AJ+,2024-03-14 16:06:04 EDT,214,"The foreign minister of South Africa says citizens fighting for Israel in Gaza will be arrested when they return. Those with dual South African Israeli citizenship could also have their South African citizenship revoked.⁣ ⁣ In December, the foreign ministry said that it was concerned some of its citizens were participating in the genocide and warned that they could face prosecution when they came back if they joined the Israeli military without the permission of the South African government. ⁣ ⁣ South Africa has an ongoing case at the International Court of Justice against Israel for the crime of genocide against Palestinians in Gaza. ⁣",https://www.facebook.com/100064529598989/posts/802547955239517
BreakThrough News,2023-11-02 10:52:07 EDT,165,"Bolivia is the first country to cut ties with Israel since the Israeli regime launched its genocide against Palestinians living in Gaza. Bolivia urged international bodies to ""take collective action"" to stop the genocide. On the same day as Bolivia's announcement, two other Latin American countries - Chile and Colombia - recalled their ambassadors to Israel.",https://www.facebook.com/100063750150699/posts/828433169291681
Democracy Now!,2024-04-09 12:43:02 EDT,169,"The United Nations Security Council is set to consider full U.N. membership for Palestine this month. Palestinians previously sought to have their statehood recognized with full membership in 2011 but failed to get the required support at the Security Council, the body's top decision-making forum. However, Palestine was upgraded a year later from ""non-member observer entity"" to a ""non-member observer state."" This latest bid comes amid growing global outrage over Israel's war on Gaza, where it has killed over 33,000 Palestinians in what many legal scholars consider a genocide. It's unclear if that wave of sympathy for the Palestinian struggle will translate into support for full membership at the U.N., where the United States holds a veto on the Security Council and has historically shielded Israel from accountability. ""All we ask for is to take our rightful place among the community of nations,"" Palestinian U.N. Ambassador Riyad Mansour said Monday. ""Recognition of the State of Palestine and its membership are not enough by themselves to end this illegal occupation. But they are the first step toward this urgent and long-overdue goal.""",https://www.facebook.com/100057759681078/posts/852170920051556
AJ+,2024-06-10 18:14:25 EDT,196,"Colombia has suspended coal exports to Israel as a means of pressuring the country to comply with international law. ⁣ ⁣ In November, mining workers with the Sintracarbón union called on the government to “suspend the shipment of Colombian coal, or any other metal or mineral, to Israel as a means of pressure for an immediate ceasefire.” ⁣ ⁣ Israel depends on Colombia for up to 50% of its coal imports, according to the American Journal for Transportation. Colombian President Gustavo Petro says exports won’t restart until Israel ends its genocide in Gaza. ⁣",https://www.facebook.com/100064529598989/posts/858543959639916
Reuters,2024-01-11 07:06:34 EST,242,"LIVE: World Court hears arguments from South Africa in Gaza genocide case South Africa and Israel face each other at the top UN court where judges will hear a South African case accusing Israel of genocide against Palestinians in Gaza and requesting an emergency suspension of Israel's military campaign. The International Court of Justice in The Hague, also known as the World Court, will have two days of hearings this week in a case brought in late December accusing Israel of failing to uphold its obligations under the 1948 Genocide Convention. #InternationalCourtofJustice #TheHague #SouthAfrica #Israel #Hamas #Gaza #Palestinian #IsraelHamasWar #GazaWar #live #Reuters #News Keep up with the latest news from around the world: https://www.reuters.com/",https://www.facebook.com/100059422245844/posts/331479126538124
CNN International,2024-03-24 18:01:29 EDT,117,"Rep. Alexandria Ocasio-Cortez defended accusing Israel of genocide against the Palestinian people and advocating for cuts to US military aid until humanitarian relief flows freely in Gaza. Speaking to CNN's Jake Tapper on ""State of the Union,"" the New York Democrat said her decision to use the term genocide, as she did during a floor speech on Friday in the House chamber, was taken with ""extraordinary gravity."" https://cnn.it/43zgGne:=:https://www.cnn.com/2024/03/24/politics/alexandria-ocasio-cortez-aoc-israel-gaza-genocide-cnntv/index.html",https://www.facebook.com/100059551808655/posts/799047675423619
AJ+,2024-05-17 15:20:44 EDT,242,"South Africa appeared at the International Court of Justice for the third time, seeking emergency action against Israel for committing genocide in Gaza.",https://www.facebook.com/100064529598989/posts/843287407832238
Democracy Now!,2024-05-19 14:53:10 EDT,224,"Another member of the Biden administration has resigned to protest the president’s policies on Gaza. Lily Greenberg Call has become the first known Jewish political appointee to resign over the war. She had been working as special assistant to the chief of staff at the Interior Department. In her resignation letter, she wrote, “I can no longer in good conscience continue to represent this administration amidst President Biden’s disastrous, continued support for Israel’s genocide in Gaza.” She went on to write, “Biden is making Jews the face of the American war machine. And that is so deeply wrong.” Greenberg Call’s views on Israel have shifted over the years. In 2019, as a college student at the University of California at Berkeley, she served as president of Bears for Israel, which is affiliated with AIPAC, the American Israel Public Affairs Committee.",https://www.facebook.com/100057759681078/posts/876520970949884
AJ+,2024-04-26 13:19:01 EDT,217,Nelson Mandela’s grandson talks about his grandfather’s fight for a free South Africa – and why he’s supporting Palestinians facing genocide by Israeli forces. He’s joining the Freedom Flotilla ships as they attempt to break through the Israeli blockade to deliver aid to Gaza.,https://www.facebook.com/100064529598989/posts/828918522602460
AP,2023-12-29 13:07:37 EST,111,BREAKING: South Africa launched a case at the United Nations’ top court accusing Israel of genocide against Palestinians in Gaza and asking the court to order Israel to halt its attacks.,https://www.facebook.com/100059337559482/posts/758166232837955
AJ+,2024-03-08 04:15:10 EST,281,“I will not be eating blood dates.” Muslim TikTokers are calling for a boycott of Israeli dates during Ramadan amid Israel’s genocide in Gaza.,https://www.facebook.com/100064529598989/posts/798610195633293
The New York Times,2024-01-11 04:56:06 EST,35,"The International Court of Justice began hearings in a case accusing Israel of committing genocide in Gaza. The allegation, which Israel denies, has particular significance in a country founded in the wake of the Holocaust. Follow updates.",https://www.facebook.com/100059174186752/posts/761454732503659
AJ+,2024-01-19 18:05:01 EST,288,"Countries around the world are demanding accountability for Israel’s alleged war crimes against Palestinian civilians. ⁣ ⁣ Chile and Mexico most recently asked the International Criminal Court (ICC) to investigate alleged war crimes committed by all sides against civilians since Oct. 7 during Israel’s siege of Gaza, which has killed more than 24,700 Palestinians. Around 1,140 Israelis were killed by Hamas on Oct 7. ⁣ ⁣ South Africa has already put Israel on trial at the International Court of Justice (ICJ) for alleged genocide against Palestinians in Gaza and is demanding a ceasefire. ⁣ ⁣ Indonesia and Slovenia have also joined a request for an ICJ opinion on whether Israel has violated Palestinians’ right to self-determination through its illegal occupation of the Palestinian territories. ⁣ ⁣ The difference between the ICC and ICJ is that the ICC prosecutes individuals and the ICJ prosecutes nations. However, neither court has enforcement power. Israel has denied the charges in the South Africa ICJ case and isn’t a member of the ICC. ⁣",https://www.facebook.com/100064529598989/posts/768941168600196
AJ+,2024-05-28 15:10:15 EDT,463,"Israel reportedly waged a nine-year “war” against the International Criminal Court to block an investigation into possible war crimes committed in the occupied Palestinian territories, according to a new report from The Guardian and +972 Magazine. The attempts from Israel’s government to block any such probe allegedly included threats and pressure against the ICC’s then-chief prosecutor, Gambian lawyer Fatou Bensouda, made by Yossi Cohen, the then-chief of Mossad, Israel’s spy agency. ⁣ ⁣ The ICC investigation was ultimately opened in 2021 under Bensouda. In May 2024, her successor, Karim Khan, announced he was seeking arrest warrants against Israeli and Hamas leaders, including Israeli PM Benjamin Netanyahu and Defense Minister Yoav Gallant. ⁣ Israel’s attacks in Gaza have killed over 36,000 Palestinians since October 2023, and Israel has so far refused calls for a ceasefire. That includes an order from the International Court of Justice – where Israel is on trial for genocide – for an immediate stop to its attacks on Rafah. ⁣",https://www.facebook.com/100064529598989/posts/850289823798663
